,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
5166,Chevrolet,1,Wednesday,Aug,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,4 to 8 years,3 to 4,Collision,True,Sedan,Collision,0
5177,Toyota,1,Monday,Mar,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,1.0,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5180,Pontiac,1,Tuesday,Aug,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5219,Accura,1,Tuesday,Aug,0.0,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
5228,Toyota,0,Monday,Aug,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5232,Mercury,1,Friday,Jul,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5268,Pontiac,0,Thursday,Jul,1.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5273,Accura,1,Tuesday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5289,Accura,1,Friday,Jul,1.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,3 to 4,All Perils,True,Sedan,All Perils,0
5294,Honda,1,Friday,Jul,1.0,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,2 years,21 to 25,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
5302,Honda,1,Tuesday,Aug,0.0,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5304,Chevrolet,0,Monday,Jan,1.0,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,1 to 2,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
5330,Saturn,1,Wednesday,Aug,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,3 to 4,All Perils,True,Sedan,All Perils,0
5355,Honda,1,Thursday,Jan,0.25,0,Married,1,Sport - Collision,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,4 years,36 to 40,0,0,0,none,2 to 3 years,2 vehicles,Collision,True,Sport,Collision,0
5360,Pontiac,1,Thursday,Aug,0.5,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5362,Honda,1,Wednesday,Aug,0.0,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,5 years,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
5411,Honda,1,Wednesday,Aug,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5434,Pontiac,0,Monday,Aug,0.0,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5450,Accura,1,Wednesday,Aug,1.0,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
5457,Saab,1,Friday,Aug,0.0,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,5 years,31 to 35,0,0,0,1 to 2,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
5473,Pontiac,0,Thursday,Aug,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,5 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5478,VW,1,Monday,Aug,0.25,1,Single,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5483,Chevrolet,1,Thursday,Aug,0.0,1,Single,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
5494,Toyota,1,Monday,Aug,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,3 to 4,Collision,True,Sedan,Collision,0
5497,Pontiac,1,Thursday,Sep,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,5 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5505,Mazda,1,Friday,Aug,0.5,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5512,Chevrolet,0,Friday,Aug,0.0,1,Single,0,Utility - Collision,Utility,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Utility,Collision,0
5518,Toyota,1,Thursday,Sep,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,1.0,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5539,Chevrolet,1,Monday,Aug,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Utility,All Perils,0
5541,Toyota,0,Tuesday,Aug,0.25,1,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
5548,Pontiac,1,Thursday,Aug,0.25,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5554,Ford,1,Wednesday,Aug,0.25,0,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5569,Chevrolet,1,Thursday,Aug,0.25,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5587,Accura,1,Friday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
5591,Toyota,1,Thursday,Aug,0.5,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5638,Toyota,1,Thursday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5674,Accura,0,Thursday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
5681,Mazda,0,Wednesday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5684,Toyota,1,Friday,Aug,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5688,Toyota,0,Thursday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5691,Chevrolet,1,Monday,Oct,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,3 to 5,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
5697,Toyota,1,Friday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5698,Pontiac,1,Wednesday,Aug,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,26 to 30,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5727,Toyota,1,Wednesday,Aug,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5743,Mazda,1,Wednesday,Aug,0.5,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,4 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5761,Pontiac,1,Wednesday,Aug,1.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5766,Accura,1,Monday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,1.0,0.6666666666666667,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5775,Pontiac,1,Friday,Aug,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
5777,Accura,0,Friday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
5780,Toyota,1,Friday,Aug,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5798,Accura,1,Monday,Sep,0.0,1,Single,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,26 to 30,0,0,0,1 to 2,no change,1 vehicle,Liability,False,Sedan,Liability,1
5838,Saab,1,Wednesday,Aug,0.75,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
5844,Pontiac,1,Wednesday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5856,Mazda,1,Wednesday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5863,Toyota,1,Wednesday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,over 65,0,0,0,more than 5,no change,3 to 4,All Perils,True,Sedan,All Perils,0
5865,Toyota,1,Wednesday,Oct,0.5,1,Married,1,Sedan - All Perils,Sedan,less than 20000,1.0,0.5,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,more than 5,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
5896,Honda,1,Friday,Aug,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5899,Chevrolet,1,Wednesday,Aug,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5908,Chevrolet,1,Thursday,Sep,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5914,Pontiac,1,Friday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5915,Ford,1,Tuesday,Oct,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,3 to 5,1 year,1 vehicle,All Perils,True,Sedan,All Perils,0
5929,Honda,1,Tuesday,Aug,1.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5940,Ford,1,Friday,Aug,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
5967,Honda,1,Wednesday,Sep,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
5977,Ford,0,Thursday,Nov,0.0,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,15 to 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5979,Honda,1,Monday,Aug,1.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,21 to 25,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
5982,Toyota,1,Friday,Sep,0.5,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5987,Mercury,1,Monday,Aug,1.0,1,Married,0,Utility - All Perils,Utility,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
6030,Chevrolet,1,Friday,Sep,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6031,Pontiac,1,Wednesday,Aug,1.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6034,Toyota,0,Wednesday,Aug,1.0,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6044,Toyota,1,Wednesday,Sep,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6072,Honda,1,Friday,Sep,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6087,Toyota,1,Tuesday,Sep,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6088,Mazda,1,Tuesday,Sep,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6093,Toyota,1,Monday,Sep,0.0,0,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6105,Accura,1,Thursday,Oct,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
6106,Pontiac,1,Monday,Nov,0.25,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6109,Mazda,1,Friday,Sep,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,26 to 30,0,0,0,more than 5,no change,3 to 4,Collision,True,Sedan,Collision,0
6118,Toyota,1,Tuesday,Sep,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
6128,Mazda,1,Monday,Sep,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,5 years,31 to 35,1,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
6145,Mazda,1,Thursday,Sep,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6148,Pontiac,1,Tuesday,Sep,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
6149,Honda,0,Monday,Sep,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,5 years,21 to 25,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
6156,Saab,1,Friday,Sep,1.0,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6171,Toyota,1,Monday,Jul,0.5,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
6177,Honda,0,Tuesday,Sep,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,3 years,18 to 20,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
6183,Toyota,1,Wednesday,Sep,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6184,Honda,1,Friday,Sep,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6207,Accura,1,Thursday,Sep,1.0,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Utility,All Perils,0
6268,Pontiac,0,Saturday,Sep,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6278,Accura,1,Friday,Sep,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,over 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6293,Mazda,1,Tuesday,Sep,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,1.0,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6300,Toyota,1,Monday,Sep,0.25,1,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,4 to 8 years,2 vehicles,Liability,False,Sedan,Liability,1
6330,Toyota,1,Monday,Sep,0.75,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6331,Mazda,0,Friday,Sep,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,5 years,31 to 35,1,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
6360,Mercury,1,Monday,Sep,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
6386,Chevrolet,1,Tuesday,Nov,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,1.0,0.6666666666666667,more than 30,more than 30,none,more than 7,over 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Utility,All Perils,0
6398,Toyota,1,Friday,Sep,0.5,0,Widow,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
